director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,budget,revenue,profit,rate,budget_infl,gross_infl,profit_infl,normalized_profit,profit_str,budget_quartile,genre_count,Family,Musical,Documentary,Sport,Crime,Sci-Fi,History,Adventure,Western,Music,Mystery,Horror,Fantasy,Drama,News,Romance,Comedy,Biography,War,Action,Thriller,Animation,genre_list,ratings_G,ratings_NC-17,ratings_PG,ratings_PG-13,ratings_R,ratings_Unrated,director_count,directed_5_plus_no,directed_5_plus_yes,actor1_count,actor2_count,actor3_count,actor_count,features,sex,fighter,friendship,friend,immigrant,bus,mafia,corporation,breast,scenario,die,hard,stake,pastor,thug,humor,based,novel,drug,secret,death,mail,escape,alien,deaf,murder,lustepic,tale,bear,fish,british,arcade,wizard,mutant,fairy,toy,super,pirate,box,hit,sequel,egg,kong,panic,hawaii,forest,zeus,king,sword,magic,giant,first,part,farm,princess,graduation,accusation,battle,epic
Anthony Minghella,139.0,333.0,1000.0,Matt Damon,22000.0,Crime|Drama|Thriller,Philip Seymour Hoffman,The Talented Mr. Ripley,36810,Jack Davenport,1.0,1950s|italy|mistaken identity|nudity|sociopath,http://www.imdb.com/title/tt0134119/?ref_=fn_tt_tt_1,English,R,1999,13000.0,7.3,1.85,0,40000000,128798265,88798265,0.8637154979999999,4631154598.085029,14912116929.503101,10280962331.418072,0.07619854341533806,Some Profits,75,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,0,1.0,1,0,1.0,3.0,1.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Mandoki,131.0,43.0,362.0,John Savage,18000.0,Drama|Romance,Robin Wright,Message in a Bottle,19815,Raphael Sbarge,0.0,beach|bottle|jogging|letter|love,http://www.imdb.com/title/tt0139462/?ref_=fn_tt_tt_1,English,PG-13,1999,652.0,6.1,2.35,0,80000000,118880016,38880016,0.8637154979999999,9262309196.170057,13763793317.970545,4501484121.800487,0.057909626780821434,Some Profits,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"['Drama', 'Romance']",0,0,0,1,0,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John McTiernan,102.0,323.0,241.0,Vladimir Kulich,845.0,Action|Adventure|History,Tony Curran,The 13th Warrior,1815,Clive Russell,1.0,arab|battle|combat|viking|warrior,http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,English,R,1999,372.0,6.6,2.35,0,160000000,61698899,-98301101,0.8637154979999999,18524618392.340115,7143428495.015844,-11381189897.32427,0.007649570330466544,Failure,100,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Action', 'Adventure', 'History']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Foley,110.0,164.0,45.0,Paul Ben-Victor,258.0,Action|Crime|Drama|Mystery|Thriller,Byron Mann,The Corruptor,571,Kim Chan,2.0,chinatown|illegal immigrant|new york|police|triad,http://www.imdb.com/title/tt0142192/?ref_=fn_tt_tt_1,English,R,1999,218.0,6.0,2.35,328,25000000,15156200,-9843800,0.8637154979999999,2894471623.803143,1754767632.987408,-1139703990.815735,0.04005832336391819,Failure,50,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,immigrant,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Schumacher,112.0,541.0,638.0,Philip Seymour Hoffman,22000.0,Comedy|Crime|Drama,Robert De Niro,Flawless,46022,Chris Bauer,1.0,gay interest|gay lead character|gay republican|homosexual|neighbor,http://www.imdb.com/title/tt0155711/?ref_=fn_tt_tt_1,English,R,1999,22000.0,6.4,1.85,0,20000000,6819587,-13180413,0.8637154979999999,2315577299.0425143,789564042.3022722,-1526013256.7402422,0.038835863878237016,Failure,50,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"['Comedy', 'Crime', 'Drama']",0,0,0,0,1,0,1.0,1,0,1.0,3.0,1.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic Rodgers,83.0,7.0,485.0,Daniel von Bargen,2000.0,Action|Sci-Fi,Michael Jai White,Universal Soldier: The Return,4024,Xander Berkeley,0.0,combat|computer|general|military|reporter,http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1,English,R,1999,577.0,4.1,1.85,401,45000000,10667893,-34332107,0.8637154979999999,5210048922.845657,1235116542.9707272,-3974932379.87493,0.031086361922653488,Failure,75,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Action', 'Sci-Fi']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Mitchell,88.0,31.0,489.0,Eddie Griffin,1000.0,Comedy|Romance,Amy Poehler,Deuce Bigalow: Male Gigolo,2604,Bree Turner,1.0,aquarium|fish|fish tank|gigolo|norwegian,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,English,R,1999,489.0,5.7,1.85,0,17000000,65535067,48535067,0.8637154979999999,1968240704.186137,7587575671.82151,5619334967.635374,0.06144701894457715,Some Profits,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"['Comedy', 'Romance']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Thomas Anderson,188.0,0.0,272.0,Neil Flynn,786.0,Drama,Patton Oswalt,Magnolia,1906,Jim Meskimen,1.0,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1,English,R,1999,625.0,8.0,2.35,13000,37000000,48451803,11451803,0.8637154979999999,4283818003.2286515,5609694756.224,1325876752.9953482,0.04786055032001118,Some Profits,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['Drama'],0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Rifkin,95.0,89.0,322.0,Lin Shaye,1000.0,Comedy|Music,Natasha Lyonne,Detroit Rock City,2518,Shannon Tweed,0.0,band|concert|high school|kiss|teenager,http://www.imdb.com/title/tt0165710/?ref_=fn_tt_tt_1,English,R,1999,852.0,6.8,2.35,0,6500000,4217115,-2282885,0.8637154979999999,752562622.1888171,488252788.0725836,-264309834.11623353,0.042828471493826875,Failure,25,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"['Comedy', 'Music']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Bolotin,99.0,7.0,730.0,Vanessa Williams,3000.0,Drama|Thriller,Rosario Dawson,Light It Up,6485,Robert Ri'chard,3.0,black cop|die hard scenario|hostage negotiator|police|police brutality,http://www.imdb.com/title/tt0172726/?ref_=fn_tt_tt_1,English,R,1999,1000.0,6.0,1.85,251,13000000,5985690,-7014310,0.8637154979999999,1505125244.3776343,693016394.1552894,-812108850.222345,0.04109498446010765,Failure,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"['Drama', 'Thriller']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry W. Blaustein,108.0,6.0,43.0,Vince McMahon,54.0,Biography|Documentary|Sport,Terry Funk,Beyond the Mat,194,Mick Foley,3.0,championship|drugs|three word title|wrestler|wrestling,http://www.imdb.com/title/tt0218043/?ref_=fn_tt_tt_1,English,R,1999,44.0,7.6,1.85,491,2053648,500000,-1553648,0.8637154979999999,237769034.4512031,57889432.476062864,-179879601.9751402,0.043095647425815294,Failure,25,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"['Biography', 'Documentary', 'Sport']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,drug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Mangold,127.0,446.0,898.0,Clea DuVall,11000.0,Biography|Drama,Angelina Jolie Pitt,"Girl, Interrupted",13433,Vanessa Redgrave,0.0,1960s|father daughter incest|mental hospital|suicide|suicide attempt,http://www.imdb.com/title/tt0172493/?ref_=fn_tt_tt_1,English,R,1999,1000.0,7.3,1.85,0,40000000,48350205,8350205,0.8637154979999999,4631154598.085029,5597931855.102593,966777257.017565,0.04672419501123856,Some Profits,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['Biography', 'Drama']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Kumble,97.0,16.0,637.0,Sean Patrick Thomas,4000.0,Drama|Romance,Sarah Michelle Gellar,Cruel Intentions,6223,Eric Mabius,3.0,bet|revenge|seduction|virgin|wager,http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1,English,R,1999,656.0,6.9,1.85,0,10500000,76347426,65847426,0.8637154979999999,1215678081.9973202,8839418324.296412,7623740242.299091,0.06778987545178003,Some Profits,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"['Drama', 'Romance']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Minkoff,84.0,50.0,692.0,Nathan Lane,979.0,Adventure|Comedy|Family|Fantasy,Chazz Palminteri,Stuart Little,3382,Jeffrey Jones,0.0,box office hit|cat|first part|mouse|orphanage,http://www.imdb.com/title/tt0164912/?ref_=fn_tt_tt_1,English,PG,1999,886.0,5.9,1.85,0,133000000,300135367,167135367,0.8637154979999999,15398589038.63272,34749332123.249695,19350743084.616966,0.10489948458552265,Success,100,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0,0,1,0,0,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon West,116.0,165.0,475.0,Timothy Hutton,577.0,Drama|Mystery|Thriller,Daniel von Bargen,The General's Daughter,2321,Clarence Williams III,0.0,army cid|cover up|military|murder|woman in military,http://www.imdb.com/title/tt0144214/?ref_=fn_tt_tt_1,English,R,1999,501.0,6.3,2.35,885,60000000,149705852,89705852,0.8637154979999999,6946731897.127543,17332773621.25092,10386041724.123377,0.07653106275073324,Some Profits,75,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"['Drama', 'Mystery', 'Thriller']",0,0,0,0,1,0,1.0,1,0,2.0,1.0,1.0,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Jarmusch,116.0,0.0,116.0,Gano Grills,251.0,Action|Crime|Drama|Thriller,Henry Silva,Ghost Dog: The Way of the Samurai,675,Richard Portnow,1.0,african american|code|dog|pigeon|samurai,http://www.imdb.com/title/tt0165798/?ref_=fn_tt_tt_1,English,R,1999,147.0,7.5,1.85,0,2000000,9400000,7400000,0.8637154979999999,231557729.90425146,1088321330.5499818,856763600.6457303,0.046376061405216024,Some Profits,25,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,"['Action', 'Crime', 'Drama', 'Thriller']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm D. Lee,120.0,92.0,862.0,Sanaa Lathan,1000.0,Comedy|Drama,Harold Perrineau,The Best Man,5420,Jarrod Bunch,6.0,african american|bachelor party|brooklyn bridge|family relationships|stripper,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,English,R,1999,886.0,6.7,1.85,0,9000000,34573780,25573780,0.8637154979999999,1042009784.5691314,4002913005.504505,2960903220.935374,0.05303452307028857,Some Profits,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"['Comedy', 'Drama']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman Polanski,133.0,2000.0,541.0,Frank Langella,40000.0,Mystery|Thriller,Johnny Depp,The Ninth Gate,42344,Lena Olin,1.0,bare butt|gnosticism|lucifer|rare book|sex,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,English,R,1999,903.0,6.7,2.35,0,38000000,58401898,20401898,0.8637154979999999,4399596868.180778,6761705461.4898205,2362108593.309044,0.051139662560626915,Some Profits,75,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"['Mystery', 'Thriller']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spike Jonze,112.0,0.0,213.0,Orson Bean,512.0,Comedy|Drama|Fantasy,Willie Garson,Being John Malkovich,1171,Mary Kay Place,2.0,body swap|magical realism|portal|puppeteer|surrealism,http://www.imdb.com/title/tt0120601/?ref_=fn_tt_tt_1,English,R,1999,216.0,7.8,1.85,0,13000000,22863596,9863596,0.8637154979999999,1505125244.3776343,2647121193.603962,1141995949.2263274,0.04727866722107965,Some Profits,25,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"['Comedy', 'Drama', 'Fantasy']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
