director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,News,Thriller,Fantasy,Comedy,Animation,History,Western,Music,Family,Short,Game-Show,Action,Sport,Drama,Mystery,Sci-Fi,Biography,Documentary,War,Film-Noir,Horror,Crime,Reality-TV,Musical,Adventure,Romance,budget,revenue,profit,rate,budget_infl,gross_infl,director_count,actor1_count,actor2_count,actor3_count,normalized_profit,content_rating_G,content_rating_NC-17,content_rating_PG,content_rating_PG-13,content_rating_R,content_rating_Unrated
William Malone,93.0,37.0,545.0,Peter Gallagher,885.0,Horror|Mystery|Thriller,Jeffrey Combs,House on Haunted Hill,2872,Bridgette Wilson-Sampras,0.0,billionaire|corpse|eccentric|haunted hospital|haunted house,http://www.imdb.com/title/tt0185371/?ref_=fn_tt_tt_1,English,USA,1999,828.0,5.6,1.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,37000000,40846082,445295008.4728016,0.8637154979999999,4283818003.2286525,4729113011.701453,1.0,1.0,2.0,1.0,0.0033287233108929013,0,0,0,0,1,0
George Lucas,136.0,0.0,1000.0,Liam Neeson,20000.0,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode I - The Phantom Menace,37723,Ian McDiarmid,1.0,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,http://www.imdb.com/title/tt0120915/?ref_=fn_tt_tt_1,English,USA,1999,14000.0,6.5,2.35,13000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,115000000,924317558,93701868251.06618,0.8637154979999999,13314569469.494455,107016437720.56064,1.0,1.0,2.0,1.0,0.7004630012280099,0,0,1,0,0,0
Jim Jarmusch,116.0,0.0,116.0,Gano Grills,251.0,Action|Crime|Drama|Thriller,Henry Silva,Ghost Dog: The Way of the Samurai,675,Richard Portnow,1.0,african american|code|dog|pigeon|samurai,http://www.imdb.com/title/tt0165798/?ref_=fn_tt_tt_1,English,France,1999,147.0,7.5,1.85,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2000000,9400000,856763600.6457303,0.8637154979999999,231557729.90425143,1088321330.5499818,1.0,1.0,1.0,1.0,0.006404633672126654,0,0,0,0,1,0
James Mangold,127.0,446.0,898.0,Clea DuVall,11000.0,Biography|Drama,Angelina Jolie Pitt,"Girl, Interrupted",13433,Vanessa Redgrave,0.0,1960s|father daughter incest|mental hospital|suicide|suicide attempt,http://www.imdb.com/title/tt0172493/?ref_=fn_tt_tt_1,English,USA,1999,1000.0,7.3,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,40000000,48350205,966777257.017565,0.8637154979999999,4631154598.085029,5597931855.102593,1.0,1.0,2.0,1.0,0.00722703458424565,0,0,0,0,1,0
Josef Rusnak,100.0,9.0,363.0,Craig Bierko,599.0,Mystery|Sci-Fi|Thriller,Gretchen Mol,The Thirteenth Floor,2389,Brad William Henke,0.0,amnesia|barricade|letter|time|virtual reality,http://www.imdb.com/title/tt0139809/?ref_=fn_tt_tt_1,English,Germany,1999,380.0,7.0,2.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16000000,18564088,296867198.2773661,0.8637154979999999,1852461839.2340121,2149329037.5113783,1.0,1.0,1.0,1.0,0.002219159548408932,0,0,0,0,1,0
Brian Helgeland,90.0,241.0,416.0,Deborah Kara Unger,1000.0,Action|Crime|Drama|Thriller,Bill Duke,Payback,3148,William Devane,1.0,anti hero|criminal|greed|prostitute|tough guy,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,English,USA,1999,495.0,7.1,2.35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,90000000,161626121,8292790990.3036175,0.8637154979999999,10420097845.691315,18712888835.99493,1.0,1.0,1.0,1.0,0.06199223897020972,0,0,0,0,1,0
Barry Sonnenfeld,106.0,188.0,582.0,Salma Hayek,10000.0,Action|Comedy|Sci-Fi|Western,Will Smith,Wild Wild West,15870,Bai Ling,2.0,buddy movie|general|inventor|steampunk|utah,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,English,USA,1999,4000.0,4.8,1.85,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,170000000,222104681,6032620824.872591,0.8637154979999999,19682407041.86137,25715027866.733963,1.0,1.0,1.0,1.0,0.0450964637828804,0,0,0,1,0,0
Anthony Minghella,139.0,333.0,1000.0,Matt Damon,22000.0,Crime|Drama|Thriller,Philip Seymour Hoffman,The Talented Mr. Ripley,36810,Jack Davenport,1.0,1950s|italy|mistaken identity|nudity|sociopath,http://www.imdb.com/title/tt0134119/?ref_=fn_tt_tt_1,English,USA,1999,13000.0,7.3,1.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,40000000,128798265,10280962331.418072,0.8637154979999999,4631154598.085029,14912116929.5031,1.0,1.0,1.0,1.0,0.07685470221618163,0,0,0,0,1,0
Bob Clark,97.0,84.0,782.0,Dom DeLuise,899.0,Comedy|Crime|Family|Sci-Fi,Kathleen Turner,Baby Geniuses,2936,Ruby Dee,2.0,baby|boy|science|scientist|toddler,http://www.imdb.com/title/tt0118665/?ref_=fn_tt_tt_1,English,USA,1999,842.0,2.5,1.85,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12000000,36450736,2830878461.3240786,0.8637154979999999,1389346379.4255085,4220224840.7495866,1.0,1.0,1.0,1.0,0.02116201848771929,0,0,1,0,0,0
Roman Polanski,133.0,2000.0,541.0,Frank Langella,40000.0,Mystery|Thriller,Johnny Depp,The Ninth Gate,42344,Lena Olin,1.0,bare butt|gnosticism|lucifer|rare book|sex,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,English,Spain,1999,903.0,6.7,2.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38000000,58401898,2362108593.3090444,0.8637154979999999,4399596868.1807785,6761705461.489821,1.0,1.0,1.0,1.0,0.017657755655780868,0,0,0,0,1,0
Luis Mandoki,131.0,43.0,362.0,John Savage,18000.0,Drama|Romance,Robin Wright,Message in a Bottle,19815,Raphael Sbarge,0.0,beach|bottle|jogging|letter|love,http://www.imdb.com/title/tt0139462/?ref_=fn_tt_tt_1,English,USA,1999,652.0,6.1,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,80000000,118880016,4501484121.800487,0.8637154979999999,9262309196.170055,13763793317.970543,1.0,1.0,1.0,1.0,0.033650537315993594,0,0,0,1,0,0
Simon West,116.0,165.0,475.0,Timothy Hutton,577.0,Drama|Mystery|Thriller,Daniel von Bargen,The General's Daughter,2321,Clarence Williams III,0.0,army cid|cover up|military|murder|woman in military,http://www.imdb.com/title/tt0144214/?ref_=fn_tt_tt_1,English,USA,1999,501.0,6.3,2.35,885,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60000000,149705852,10386041724.123377,0.8637154979999999,6946731897.1275425,17332773621.25092,1.0,1.0,1.0,1.0,0.07764021731726754,0,0,0,0,1,0
Mark Illsley,98.0,3.0,327.0,Illeana Douglas,349.0,Comedy|Crime|Romance,Ally Walker,"Happy, Texas",2095,Jeremy Northam,3.0,banker|beauty pageant|escaped convict|gay|pageant,http://www.imdb.com/title/tt0162360/?ref_=fn_tt_tt_1,English,USA,1999,347.0,6.3,1.85,374,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1700000,1943649,28209404.66672048,0.8637154979999999,196824070.41861373,225033475.08533418,1.0,1.0,1.0,1.0,0.00021082329453056735,0,0,0,1,0,0
Roger Kumble,97.0,16.0,637.0,Sean Patrick Thomas,4000.0,Drama|Romance,Sarah Michelle Gellar,Cruel Intentions,6223,Eric Mabius,3.0,bet|revenge|seduction|virgin|wager,http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1,English,USA,1999,656.0,6.9,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10500000,76347426,7623740242.29909,0.8637154979999999,1215678081.9973204,8839418324.296413,1.0,2.0,1.0,1.0,0.05699078766353643,0,0,0,0,1,0
Kimberly Peirce,118.0,108.0,103.0,Brendan Sexton III,173.0,Biography|Crime|Drama|Romance,Alicia Goranson,Boys Don't Cry,563,Jeannetta Arnette,0.0,drinking|female dressed as male|love|nebraska|transgender,http://www.imdb.com/title/tt0171804/?ref_=fn_tt_tt_1,English,USA,1999,148.0,7.6,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2000000,11540607,1104600649.4143052,0.8637154979999999,231557729.90425143,1336158379.3185568,1.0,1.0,1.0,1.0,0.00825732561679997,0,0,0,0,1,0
M. Night Shyamalan,107.0,0.0,766.0,Haley Joel Osment,13000.0,Drama|Mystery|Thriller,Bruce Willis,The Sixth Sense,17540,Olivia Williams,0.0,able to see the dead|ghost|plot twist|psychic|surprise ending,http://www.imdb.com/title/tt0167404/?ref_=fn_tt_tt_1,English,USA,1999,3000.0,8.1,1.85,14000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,40000000,672806292,73265594222.32343,0.8637154979999999,4631154598.085029,77896748820.40846,1.0,2.0,1.0,1.0,0.5476927820040752,0,0,0,1,0,0
Jay Roach,95.0,116.0,481.0,Verne Troyer,45000.0,Action|Adventure|Comedy|Crime,Muse Watson,Austin Powers: The Spy Who Shagged Me,47203,Robert Wagner,1.0,penis joke|phallic image|sexy agent|spy|volcano hideout,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,English,USA,1999,645.0,6.6,2.35,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,33000000,312016858,32304255121.748436,0.8637154979999999,3820702543.4201493,36124957665.16859,1.0,1.0,1.0,2.0,0.24148859109825666,0,0,0,1,0,0
Michael Apted,128.0,150.0,244.0,Maria Grazia Cucinotta,766.0,Action|Adventure|Thriller,Colin Salmon,The World Is Not Enough,2037,Desmond Llewelyn,2.0,british|oil|scientist|terrorist|tycoon,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,English,UK,1999,536.0,6.4,2.35,2000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,135000000,361832400,26262397806.366558,0.8637154979999999,15630146768.536972,41892544574.903534,1.0,1.0,1.0,1.0,0.19632302592270456,0,0,0,1,0,0
Garry Marshall,116.0,0.0,995.0,Christopher Meloni,8000.0,Comedy|Romance,Julia Roberts,Runaway Bride,12790,Hector Elizondo,2.0,bride|columnist|journalist|maryland|wedding,http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1,English,USA,1999,3000.0,5.5,2.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70000000,309457509,27724118596.283432,0.8637154979999999,8104520546.6488,35828639142.93223,1.0,1.0,1.0,1.0,0.20725003762775954,0,0,1,0,0,0
Spike Jonze,112.0,0.0,213.0,Orson Bean,512.0,Comedy|Drama|Fantasy,Willie Garson,Being John Malkovich,1171,Mary Kay Place,2.0,body swap|magical realism|portal|puppeteer|surrealism,http://www.imdb.com/title/tt0120601/?ref_=fn_tt_tt_1,English,USA,1999,216.0,7.8,1.85,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13000000,22863596,1141995949.2263277,0.8637154979999999,1505125244.3776345,2647121193.603962,1.0,2.0,1.0,1.0,0.008536872081199128,0,0,0,0,1,0
Rick Famuyiwa,106.0,44.0,328.0,Tamala Jones,865.0,Comedy|Drama|Romance,Omar Epps,The Wood,2724,Richard T. Jones,0.0,flashback|friendship|public nudity|shower|wedding,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,English,USA,1999,405.0,6.9,1.85,990,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6000000,25059640,2206703485.5961328,0.8637154979999999,694673189.7127542,2901376675.3088875,1.0,1.0,1.0,1.0,0.016496033497405548,0,0,0,0,1,0
Oliver Stone,156.0,0.0,1000.0,Dennis Quaid,14000.0,Drama|Sport,Al Pacino,Any Given Sunday,20761,LL Cool J,5.0,breasts|coach|football|in medias res|vomiting,http://www.imdb.com/title/tt0146838/?ref_=fn_tt_tt_1,English,USA,1999,2000.0,6.8,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,55000000,100230832,5236774389.800286,0.8637154979999999,6367837572.366914,11604611962.1672,1.0,2.0,1.0,1.0,0.03914715843575188,0,0,0,0,1,0
Dennis Dugan,93.0,221.0,781.0,Adam Sandler,12000.0,Comedy|Drama,Steve Buscemi,Big Daddy,26760,Joey Lauren Adams,0.0,homosexual|law|law school|responsibility|vomiting,http://www.imdb.com/title/tt0142342/?ref_=fn_tt_tt_1,English,USA,1999,11000.0,6.4,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34200000,234801895,23225459710.345505,0.8637154979999999,3959637181.3627,27185096891.7082,1.0,1.0,1.0,1.0,0.17362056567745027,0,0,0,1,0,0
Gavin O'Connor,102.0,149.0,276.0,Janet McTeer,409.0,Comedy|Drama,Kimberly J. Brown,Tumbleweeds,1986,Lois Smith,1.0,boss|fight|reference to william shakespeare|white trash|written and directed by cast member,http://www.imdb.com/title/tt0161023/?ref_=fn_tt_tt_1,English,USA,1999,277.0,6.7,1.85,121,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,312000,1281176,112210097.2188414,0.8637154979999999,36123005.86506322,148333103.08390462,1.0,1.0,1.0,1.0,0.0008387657559646356,0,0,0,1,0,0
Frank Oz,85.0,0.0,490.0,Adam Alexi-Malle,21000.0,Comedy,Robert Downey Jr.,Bowfinger,22458,Jamie Kennedy,2.0,film within a film|filmmaking|guerrilla filmmaking|making of a movie|scientology parody,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1,English,USA,1999,860.0,6.4,1.37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000000,98625775,5050942712.156822,0.8637154979999999,6367837572.366914,11418780284.523735,1.0,2.0,1.0,1.0,0.037757984161986766,0,0,0,1,0,0
Oliver Parker,97.0,32.0,327.0,Rupert Everett,893.0,Comedy|Romance,Minnie Driver,An Ideal Husband,2640,Jeremy Northam,3.0,bachelor|blackmail|character says i love you|flirting|social satire,http://www.imdb.com/title/tt0122541/?ref_=fn_tt_tt_1,English,UK,1999,692.0,6.9,1.85,646,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14000000,18535191,525079266.321096,0.8637154979999999,1620904109.32976,2145983375.6508558,1.0,1.0,1.0,2.0,0.003925146051406168,0,0,0,1,0,0
David Kellogg,110.0,16.0,692.0,Rene Auberjonois,2000.0,Action|Adventure|Comedy|Family|Sci-Fi,Matthew Broderick,Inspector Gadget,5320,Rupert Everett,0.0,actor playing multiple roles|claw|gadget|inspector|police,http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1,English,USA,1999,710.0,4.1,1.85,509,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,75000000,134400000,6877264578.156267,0.8637154979999999,8683414871.409428,15560679449.565697,1.0,1.0,1.0,2.0,0.051410550742851176,0,0,1,0,0,0
Harold Ramis,103.0,11000.0,636.0,Chazz Palminteri,22000.0,Comedy|Crime,Robert De Niro,Analyze This,24333,Molly Shannon,2.0,analyst|mafia|patient|psychiatrist|wedding,http://www.imdb.com/title/tt0122933/?ref_=fn_tt_tt_1,English,USA,1999,979.0,6.7,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80000000,176885658,11217311513.37984,0.8637154979999999,9262309196.170055,20479620709.549896,1.0,1.0,1.0,1.0,0.08385432795995773,0,0,0,0,1,0
Paul Thomas Anderson,188.0,0.0,272.0,Neil Flynn,786.0,Drama,Patton Oswalt,Magnolia,1906,Jim Meskimen,1.0,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1,English,USA,1999,625.0,8.0,2.35,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37000000,48451803,1325876752.9953482,0.8637154979999999,4283818003.2286525,5609694756.224,1.0,1.0,1.0,1.0,0.009911462706836516,0,0,0,0,1,0
Michael Rymer,95.0,48.0,826.0,Omar Epps,1000.0,Crime|Drama|Thriller,LL Cool J,In Too Deep,4837,Nia Long,1.0,cunnilingus|oral sex|police|sex scene|undercover,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,English,USA,1999,865.0,6.1,2.35,375,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7000000,14011454,811778185.7840416,0.8637154979999999,810452054.66488,1622230240.4489214,1.0,2.0,2.0,1.0,0.00606834772877739,0,0,0,0,1,0
Les Mayfield,93.0,10.0,405.0,Dave Chappelle,789.0,Action|Comedy|Crime|Thriller,Peter Greene,Blue Streak,2986,Tamala Jones,1.0,detective|diamond|jewel|police|thief,http://www.imdb.com/title/tt0181316/?ref_=fn_tt_tt_1,English,USA,1999,744.0,6.3,1.85,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65000000,117758500,6108319246.576725,0.8637154979999999,7525626221.88817,13633945468.464895,1.0,1.0,1.0,2.0,0.045662343084673936,0,0,0,1,0,0
Andy Tennant,148.0,72.0,99.0,Geoffrey Palmer,582.0,Drama|History|Romance,Bai Ling,Anna and the King,804,Randall Duk Kim,2.0,1860s|children|king|schoolteacher|siam,http://www.imdb.com/title/tt0166485/?ref_=fn_tt_tt_1,English,USA,1999,103.0,6.7,2.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,75000000,113996937,4515021102.469555,0.8637154979999999,8683414871.409428,13198435973.878984,1.0,2.0,1.0,1.0,0.03375173225502872,0,0,0,1,0,0
Hugh Wilson,112.0,37.0,480.0,Sissy Spacek,3000.0,Comedy|Drama|Romance|Sci-Fi,Brendan Fraser,Blast from the Past,5709,Douglas Smith,0.0,1960s|bomb shelter|cuban missile crisis|food|naive man,http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1,English,USA,1999,874.0,6.6,2.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,35000000,40263020,609346481.8203367,0.8637154979999999,4052260273.3244,4661606755.144736,1.0,1.0,2.0,1.0,0.004555080890169021,0,0,0,1,0,0
Norman Jewison,146.0,278.0,494.0,Vincent Pastore,18000.0,Biography|Drama|Sport,Denzel Washington,The Hurricane,20516,Deborah Kara Unger,0.0,african american|book|boxer|boxing|murder,http://www.imdb.com/title/tt0174856/?ref_=fn_tt_tt_1,English,USA,1999,584.0,7.6,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,50000000,73956241,2773626391.499577,0.8637154979999999,5788943247.606286,8562569639.105863,1.0,1.0,1.0,2.0,0.020734033853836837,0,0,0,0,1,0
Sydney Pollack,133.0,521.0,970.0,Kristin Scott Thomas,11000.0,Drama|Mystery|Romance,Harrison Ford,Random Hearts,16710,Bill Cobbs,1.0,death|plane crash|police|police sergeant|politician,http://www.imdb.com/title/tt0156934/?ref_=fn_tt_tt_1,English,USA,1999,1000.0,5.1,1.85,295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,64000000,74608570,1228248193.3651724,0.8637154979999999,7409847356.936047,8638095550.301218,1.0,1.0,1.0,1.0,0.009181645890119244,0,0,0,0,1,0
