title,budget,revenue,profit
Crop Circles: Quest for Truth,750000,0,-750000
Aliens in the Attic,45000000,57881056,12881056
The Omega Code,0,2400000,2400000
Gun Shy,10000000,1631839,-8368161
The Game of Their Lives,0,0,0
Pan,150000000,128388320,-21611680
The Brown Bunny,10000000,365734,-9634266
30 Days of Night,30000000,75505973,45505973
Hits,1000000,0,-1000000
Elizabeth: The Golden Age,55000000,74237563,19237563
Enchanted,85000000,340487652,255487652
The Legend of Tarzan,180000000,356743061,176743061
An Everlasting Piece,0,0,0
Anonymous,30000000,15395087,-14604913
Panic Room,48000000,197079546,149079546
Be Cool,53000000,95226116,42226116
The Machinist,5000000,8203235,3203235
Alvin and the Chipmunks: The Road Chip,90000000,233755553,143755553
Take the Lead,30000000,65742992,35742992
Serving Sara,29000000,16930185,-12069815
Checkmate,0,0,0
Swept Away,10000000,598645,-9401355
Parker,35000000,46216641,11216641
Ant-Man,130000000,519311965,389311965
Stolen,35000000,2106557,-32893443
Keeping Up with the Steins,0,0,0
SPACE BATTLESHIP ヤマト,12000000,11212294,-787706
Shark Lake,2000000,0,-2000000
Chacun sa nuit,0,0,0
Machine Gun Preacher,30000000,2527904,-27472096
Jindabyne,0,0,0
Running Forever,5000000,0,-5000000
Across the Universe,45000000,29625761,-15374239
Ride Along,25000000,153997819,128997819
The Hole,0,0,0
Adore,16000000,1575749,-14424251
Trippin',0,9016377,9016377
Southland Tales,17000000,374743,-16625257
Four Lions,967686,4658570,3690884
Abandoned,0,0,0
Indignation,0,3924527,3924527
Dawn of the Planet of the Apes,170000000,710644566,540644566
Nicholas Nickleby,0,0,0
Supercapitalist,500000,15919,-484081
"Nannerl, la soeur de Mozart",0,0,0
The 5th Wave,38000000,109906372,71906372
Annabelle,6500000,257047661,250547661
Eden,0,65460,65460
A escondidas,0,0,0
Runaway Bride,70000000,309457509,239457509
Orphan,20000000,77912251,57912251
American Hustle,40000000,251171807,211171807
Diary of the Dead,2000000,5364858,3364858
They Will Have to Kill Us First,522360,0,-522360
Brave,185000000,538983207,353983207
Survival of the Dead,4000000,0,-4000000
The Invasion,80000000,15071514,-64928486
Max Payne,35000000,85416905,50416905
Anderson's Cross,300000,0,-300000
BloodRayne,25000000,3650275,-21349725
In the Land of Women,10000000,17500000,7500000
Brooklyn Rules,8000000,458232,-7541768
Resurrecting the Champ,0,0,0
The Life Before Her Eyes,8000000,0,-8000000
The Shallows,17000000,119100758,102100758
How to Lose Friends & Alienate People,27000000,17286299,-9713701
The Raven,26000000,29657751,3657751
Inside Llewyn Davis,11000000,32935319,21935319
Dark Blue,15000000,9237470,-5762530
Confessions of a Dangerous Mind,30000000,33013805,3013805
Noah,125000000,362637473,237637473
Amour,8900000,29844753,20944753
Seven Psychopaths,15000000,33035736,18035736
Super 8,50000000,260095986,210095986
The Bridge of San Luis Rey,0,0,0
The Curious Case of Benjamin Button,150000000,333932083,183932083
I Dreamed of Africa,34000000,14400327,-19599673
Teeth,2000000,2340110,340110
ハウルの動く城,24000000,236049757,212049757
Leatherheads,58000000,41299492,-16700508
Burn After Reading,37000000,163720069,126720069
Christmas Eve,0,0,0
Ouija,5000000,103590271,98590271
The Muse,0,0,0
Be Kind Rewind,20000000,30600000,10600000
Skyfall,200000000,1108561013,908561013
The Legend of Bagger Vance,80000000,39459427,-40540573
"Synecdoche, New York",21000000,0,-21000000
Secondhand Lions,0,0,0
Impostor,40000000,8694320,-31305680
Aqua Teen Hunger Force Colon Movie Film for Theaters,0,0,0
Keeping the Faith,30000000,59945183,29945183
Easy A,8000000,75026327,67026327
Kites,0,0,0
All the Pretty Horses,57000000,0,-57000000
American Gangster,100000000,266465037,166465037
Watchmen,130000000,185258983,55258983
Bangkok Dangerous,45000000,42487390,-2512610
Wonderland,5000000,2466444,-2533556
Holy Motors,4000000,641100,-3358900
Gran Torino,33000000,269958228,236958228
The Gatekeepers,0,0,0
Vicky Cristina Barcelona,15000000,96408652,81408652
Left Behind,16000000,19682924,3682924
Guiana 1838,0,0,0
Knight and Day,117000000,261930431,144930431
Sabotage,35000000,22126842,-12873158
Severance,0,0,0
Admission,13000000,18637201,5637201
लगे रहो मुन्ना भाई,1800000,31517561,29717561
Faith Like Potatoes,597966,0,-597966
Sky Captain and the World of Tomorrow,70000000,57958696,-12041304
Tupac: Resurrection,300000,7808524,7508524
The Immigrant,16000000,5867686,-10132314
Harold & Kumar Escape from Guantanamo Bay,12000000,43493123,31493123
Dirty Grandpa,11500000,94073028,82573028
MacGruber,10000000,9322895,-677105
The Astronaut Farmer,13000000,11130889,-1869111
Big Eyes,10000000,28883511,18883511
Rush Hour 3,140000000,258022233,118022233
Rush Hour 2,90000000,347325802,257325802
3:10 to Yuma,55000000,70016220,15016220
Made in Dagenham,7200000,12629471,5429471
A Mighty Wind,6000000,18750246,12750246
Jason Bourne,120000000,415484914,295484914
Terminator Genisys,155000000,440603537,285603537
Charlie St. Cloud,44000000,48190704,4190704
Loin des hommes,7700000,0,-7700000
Ice Princess,25000000,27645491,2645491
Immortals,75000000,226904017,151904017
Righteous Kill,60000000,79498846,19498846
Hedwig and the Angry Inch,0,0,0
Rio,90000000,484635760,394635760
Angels & Demons,150000000,485930816,335930816
天將雄師,65000000,121545703,56545703
Doomsday,30000000,22472631,-7527369
Exeter,0,0,0
August: Osage County,25000000,74188937,49188937
Star Trek,150000000,385680446,235680446
Win a Date with Tad Hamilton!,17000000,16980098,-19902
La migliore offerta,13500000,19255873,5755873
The Devil's Double,19100000,5728213,-13371787
Megamind,130000000,321885765,191885765
All Is Lost,9000000,6108720,-2891280
Rust,0,0,0
The Last Godfather,13400000,16700000,3300000
Awake,86000000,14373825,-71626175
Arn: Tempelriddaren,25000000,0,-25000000
Tammy,20000000,100525432,80525432
The Monuments Men,70000000,154984035,84984035
American Outlaws,35000000,13678913,-21321087
R100,5500000,0,-5500000
The Good Night,15000000,508084,-14491916
Who Killed the Electric Car?,1000000,1678874,678874
Maniac,6000000,31081,-5968919
Eden Lake,12850990,3984669,-8866321
Mirrors,35000000,72436439,37436439
Slacker Uprising,0,0,0
Just Wright,0,21520719,21520719
Fuel,0,0,0
2 Guns,61000000,131940411,70940411
Sex Drive,19000000,18755936,-244064
I Don't Know How She Does It,24000000,31410151,7410151
Songcatcher,0,0,0
Snabba cash,0,0,0
City by the Sea,40000000,22433915,-17566085
Here on Earth,15000000,10873148,-4126852
Beastly,17000000,43202283,26202283
The Hunting Party,0,7644409,7644409
Justin Bieber: Never Say Never,13000000,98441954,85441954
The Brothers Bloom,20000000,5530764,-14469236
Bright Star,10000000,0,-10000000
Weekend,120000,484592,364592
Eat Pray Love,60000000,204594016,144594016
My Best Friend's Girl,20000000,41624687,21624687
Kickboxer: Vengeance,17000000,0,-17000000
The Purge: Election Year,10000000,118587880,108587880
High School Musical 2,0,7000000,7000000
Topsy-Turvy,0,0,0
Let's Be Cops,17000000,136621271,119621271
Christmas with the Kranks,60000000,0,-60000000
Colombiana,40000000,60965854,20965854
Dolphin Tale,37000000,95404397,58404397
New Year's Eve,56000000,142044638,86044638
Peaceful Warrior,0,0,0
Riddick,38000000,98337295,60337295
Forty Shades of Blue,1500000,0,-1500000
That's My Boy,70000000,58058367,-11941633
Dope,700000,17986781,17286781
Big Hero 6,165000000,657827828,492827828
Your Highness,49900000,28013733,-21886267
I Hope They Serve Beer in Hell,7000000,1429299,-5570701
Priest,60000000,78309131,18309131
Akeelah and the Bee,8000000,18948425,10948425
Aloft,8000000,53086,-7946914
Phat Girlz,3000000,7301115,4301115
I Am Number Four,50000000,149878437,99878437
The East,6500000,2401510,-4098490
Flight,31000000,161772375,130772375
Morning Glory,40000000,60040976,20040976
The Last Exorcism,1800000,67738090,65938090
Fair Game,22000000,25806953,3806953
Grown Ups,80000000,271430189,191430189
放‧逐,4800000,0,-4800000
Knowing,50000000,155446362,105446362
Quarantine,12000000,40855419,28855419
Teeth and Blood,300000,0,-300000
Small Apartments,2000000,0,-2000000
The Big Wedding,35000000,21819348,-13180652
The Cottage,0,0,0
दम मारो दम,4800000,8400000,3600000
Love the Coopers,17000000,42426912,25426912
Ondine,12000000,1790061,-10209939
دایره,0,0,0
Control,0,8159508,8159508
London Has Fallen,60000000,205754447,145754447
Need for Speed,66000000,203277636,137277636
Radio,35000000,53293628,18293628
The Great Raid,80000000,10166502,-69833498
Real Women Have Curves,3000000,7700000,4700000
All About the Benjamins,14000000,25482931,11482931
Baghead,0,140106,140106
Still Alice,5000000,43884652,38884652
Speedway Junky,1000000,0,-1000000
ATL,20000000,21170563,1170563
Top Five,0,25434291,25434291
Fetching Cody,1,0,-1
Ironclad,25000000,5151023,-19848977
Gone Girl,61000000,369330363,308330363
The BFG,140000000,195243411,55243411
Finishing the Game: The Search for a New Bruce Lee,500000,52868,-447132
College,7000000,6230276,-769724
Bottle Shock,5000000,4040588,-959412
Marmaduke,50000000,83761844,33761844
The Sentinel,60000000,78810595,18810595
Mr. Church,8000000,0,-8000000
Flicka,15000000,21000000,6000000
The Hammer,0,0,0
Raise Your Voice,15000000,14867514,-132486
Nancy Drew,0,0,0
The Great Debaters,15000000,30226144,15226144
Man on Wire,0,2957978,2957978
Four Single Fathers,3,0,-3
Trust the Man,9000000,0,-9000000
Ride with the Devil,35000000,635096,-34364904
Addicted,0,0,0
Here Comes the Boom,0,73100172,73100172
Into the Wild,15000000,56255142,41255142
Auto Focus,7000000,2062066,-4937934
You Got Served,0,0,0
The Darkest Hour,30000000,64626786,34626786
The Poker House,1000000,0,-1000000
Daddy Day Camp,6000000,18197398,12197398
Muppets Most Wanted,50000000,80383290,30383290
Baby Geniuses,12000000,36450736,24450736
Impact Point,0,0,0
Up,175000000,735099082,560099082
2012,200000000,791217826,591217826
The Lovers,27000000,0,-27000000
Tumbleweeds,312000,1281176,969176
Ta Ra Rum Pum,0,0,0
Gulliver's Travels,112000000,237382724,125382724
Boiler Room,7000000,28780255,21780255
Tangled,260000000,592461732,332461732
Aquamarine,12000000,23006849,11006849
The Painted Veil,19400000,26910847,7510847
Dinner for Schmucks,69000000,86387857,17387857
American Reunion,50000000,234989584,184989584
The Good Thief,0,0,0
十月圍城,23000000,5837674,-17162326
Sorority Boys,12000000,0,-12000000
Elsa & Fred,10000000,0,-10000000
Strange Wilderness,0,6575282,6575282
Blue Car,1000000,464000,-536000
Shanghai Knights,50000000,88323487,38323487
Edge of Tomorrow,178000000,370541256,192541256
The Mexican,57000000,147845033,90845033
Ramona and Beezus,15000000,27293743,12293743
A Walk Among the Tombstones,28000000,53181600,25181600
The Second Best Exotic Marigold Hotel,10000000,85978266,75978266
Better Luck Tomorrow,0,0,0
Miracle,28000000,64445708,36445708
Marley & Me,60000000,242717113,182717113
Sparkle,14000000,24637469,10637469
The Wild Thornberrys Movie,35000000,0,-35000000
Never Again,0,0,0
Virgin Territory,38000000,5410749,-32589251
The Express,40000000,9793496,-30206504
What's Your Number?,20000000,30426096,10426096
The Iron Lady,13000000,115890699,102890699
Mad Hot Ballroom,0,0,0
Doubt,20000000,50907234,30907234
The Yellow Handkerchief,15000000,317000,-14683000
Short Cut to Nirvana: Kumbh Mela,0,0,0
Beginners,3200000,14311701,11111701
Ricordati di me,0,0,0
कभी अलविदा ना कहना,7400000,17000000,9600000
The Broken Hearts Club: A Romantic Comedy,1000000,1744858,744858
Beverly Hills Chihuahua,20000000,149281606,129281606
The Perfect Wave,0,0,0
I Think I Love My Wife,11000000,13196245,2196245
My Bloody Valentine,15000000,102836002,87836002
Winter's Tale,60000000,30800231,-29199769
Coyote Ugly,45000000,113916474,68916474
The Oh in Ohio,5000000,648183,-4351817
For Greater Glory: The True Story of Cristiada,12000000,9622846,-2377154
Do You Believe?,0,0,0
Straight A's,2000000,0,-2000000
New in Town,8000000,29010817,21010817
Jack and Jill,79000000,149673788,70673788
The Deep End of the Ocean,38000000,28121100,-9878900
Outside Providence,7000000,7292175,292175
Passchendaele,0,0,0
Taken 3,48000000,325771424,277771424
Whiteout,40000000,17976667,-22023333
Cloudy with a Chance of Meatballs,100000000,242988466,142988466
See Spot Run,0,0,0
Whip It,15000000,16633035,1633035
Three Kings,75000000,108000000,33000000
Partition,0,0,0
Law Abiding Citizen,53000000,126690726,73690726
Saw VI,11000000,68233629,57233629
Motherhood,5000000,726936,-4273064
Welcome to the Rileys,0,361960,361960
Thunderbirds,57000000,28283637,-28716363
The Boondock Saints II: All Saints Day,8000000,10629321,2629321
Racing Stripes,30000000,90754475,60754475
The Shipping News,38000000,24690441,-13309559
The Box,30000000,33333531,3333531
The Fourth Kind,10000000,47709193,37709193
Somewhere,8000000,0,-8000000
The Oogieloves in the Big Balloon Adventure,0,0,0
The Lords of Salem,1500000,1165882,-334118
The Neon Demon,7000000,3377430,-3622570
Safe Haven,28000000,97594140,69594140
Alvin and the Chipmunks,60000000,361366633,301366633
Beyond the Sea,25000000,8400000,-16600000
인천상륙작전,12700000,49196532,36496532
I Am Legend,150000000,585410052,435410052
Real Steel,110000000,299268508,189268508
Indie Game: The Movie,0,0,0
Legion,26000000,67918658,41918658
The Dukes of Hazzard,50000000,110803676,60803676
Dutch Kills,0,0,0
Takers,32000000,69055695,37055695
The Adventurer: The Curse of the Midas Box,25000000,6399,-24993601
Project Almanac,12000000,33213241,21213241
02:13,3500000,0,-3500000
El orfanato,3400000,78638987,75238987
Superbabies: Baby Geniuses 2,0,9109322,9109322
風暴,0,0,0
Ender's Game,110000000,125537191,15537191
Dolphin Tale 2,36000000,52424533,16424533
27 Dresses,30000000,160259319,130259319
Up in the Air,25000000,166842739,141842739
Old Dogs,35000000,96753696,61753696
Good Dick,0,0,0
A Better Life,10000000,1759252,-8240748
Ted,50000000,549368315,499368315
Invictus,60000000,122426792,62426792
Legend,25000000,42972994,17972994
Walk Hard: The Dewey Cox Story,35000000,18317151,-16682849
The Cabin in the Woods,30000000,71041255,41041255
I Come with the Rain,18000000,0,-18000000
Soul Kitchen,4000000,18164139,14164139
The Nut Job,42000000,122529966,80529966
For Your Consideration,12000000,5542025,-6457975
Rush,38000000,90247624,52247624
Anna Karenina,0,68929150,68929150
Lars and the Real Girl,12000000,11293663,-706337
Final Destination 5,47000000,157887643,110887643
Le Petit Nicolas,22700000,62794894,40094894
Compadres,3000000,0,-3000000
Water for Elephants,38000000,117094902,79094902
Not Easily Broken,0,0,0
Tiny Furniture,65000,416498,351498
Airlift,4500000,32000000,27500000
Chasing Liberty,23000000,12195626,-10804374
World War Z,200000000,531865000,331865000
From Justin to Kelly,12000000,4922166,-7077834
G.I. Joe: The Rise of Cobra,175000000,302469017,127469017
Little Fockers,100000000,310650585,210650585
The Invention of Lying,18500000,32406507,13906507
Secretariat,35000000,60321861,25321861
Flash of Genius,0,0,0
Felicia's Journey,0,0,0
Some Guy Who Kills People,300000,0,-300000
RED,58000000,71664962,13664962
Into the Grizzly Maze,10000000,0,-10000000
Contagion,60000000,137551594,77551594
逃出生天,0,0,0
Hot Pursuit,35000000,51680201,16680201
The Town,37000000,154026136,117026136
Rachel Getting Married,0,16937968,16937968
Remember Me,16000000,56032889,40032889
The Spy Next Door,28000000,66166000,38166000
The Peanuts Movie,99000000,246233113,147233113
Praia do Futuro,0,0,0
22 Jump Street,50000000,188441614,138441614
Zathura: A Space Adventure,65000000,65079104,79104
Pound of Flesh,7500000,163080,-7336920
One Night with the King,20000000,13391174,-6608826
Wah-Wah,0,0,0
A Thousand Words,40000000,22044277,-17955723
Blonde Ambition,10000000,0,-10000000
Journey to the Center of the Earth,45000000,101702060,56702060
Rudderless,5000000,58293,-4941707
Clockstoppers,26000000,38793283,12793283
The Boxtrolls,60000000,108255770,48255770
Rock of Ages,75000000,59418613,-15581387
Minions,74000000,1156730962,1082730962
Failure to Launch,50000000,128406887,78406887
Victor Frankenstein,40000000,34227298,-5772702
Extreme Ops,40000000,10959475,-29040525
Red Tails,58000000,50365377,-7634623
Crank: High Voltage,20000000,34560577,14560577
Bang Bang Baby,1000000,0,-1000000
Moms' Night Out,5000000,10429707,5429707
One Missed Call,20000,26890,6890
The Last Exorcism Part II,5000000,15179302,10179302
The Village,60000000,256697520,196697520
곡성,10951000,49851770,38900770
The Wedding Date,15000000,47175038,32175038
Fury,68000000,211817906,143817906
Australia,130000000,211787511,81787511
In the Valley of Elah,23000000,29541790,6541790
Independence Day: Resurgence,165000000,389681935,224681935
Delivery Man,26000000,51164106,25164106
No Country for Old Men,25000000,171627166,146627166
Home,135000000,368871007,233871007
Full Frontal,2000000,2506446,506446
Hotel for Dogs,35000000,117000198,82000198
Journey 2: The Mysterious Island,79000000,355692760,276692760
Bathory,17610801,7005528,-10605273
The Longest Ride,34000000,63013281,29013281
G.I. Joe: Retaliation,130000000,371876278,241876278
The Expendables 3,90000000,206172544,116172544
The Vow,30000000,196114570,166114570
Paranormal Activity 3,5000000,207039844,202039844
The Best Man Holiday,17000000,71625195,54625195
De-Lovely,20000000,0,-20000000
200 Cigarettes,6000000,6852450,852450
Black Mass,53000000,98837872,45837872
Les Petits Mouchoirs,25000000,48531470,23531470
Street Fighter: The Legend of Chun-Li,50000000,12764201,-37235799
Clean,0,0,0
The Book of Life,50000000,97437106,47437106
No se Aceptan Devoluciones,5500000,99067206,93567206
Witless Protection,0,0,0
The Host,44000000,63327201,19327201
Neighbors,18000000,270665134,252665134
Unknown,30000000,130786397,100786397
The Skeleton Twins,0,5284309,5284309
The Rite,37000000,96047633,59047633
Coach Carter,30000000,76669806,46669806
Song One,6000000,32251,-5967749
Whiplash,3300000,13092000,9792000
The Punisher,33000000,54700105,21700105
The Original Kings of Comedy,13000000,38251106,25251106
Criminal,31500000,14708696,-16791304
Machete,20000000,44093316,24093316
The Place Beyond the Pines,15000000,35485608,20485608
The Fifth Estate,28000000,8555008,-19444992
Under the Skin,13300000,5735963,-7564037
A Dangerous Method,15000000,27462041,12462041
Meet the Spartans,30000000,84646831,54646831
Duplex,40000000,19322135,-20677865
Repo Men,32000000,18409891,-13590109
Snow Day,130000000,62500000,-67500000
Equilibrium,20000000,5359645,-14640355
Lonesome Jim,0,0,0
Maid in Manhattan,55000000,154906693,99906693
Running Scared,17000000,9500000,-7500000
The Man with the Iron Fists,15000000,15608545,608545
The Pirates Who Don't Do Anything: A VeggieTales Movie,0,0,0
All About Steve,15000000,40105542,25105542
Juno,7500000,231411584,223911584
In Her Line of Fire,1000000,0,-1000000
The Rage: Carrie 2,21000000,17762705,-3237295
47 Ronin,175000000,150962475,-24037525
Killing Them Softly,15000000,37930465,22930465
Drive,15000000,78054825,63054825
Tropa de Elite,4000000,14759148,10759148
The Bucket List,45000000,175372502,130372502
City of Ghosts,0,0,0
Sahara,130000000,119269486,-10730514
Western Religion,0,0,0
Sanctum,30,108609310,108609280
Spring Breakers,5000000,31724284,26724284
Darling Companion,0,1157257,1157257
"The Book of Mormon Movie, Volume 1: The Journey",2000000,1672730,-327270
Conversations with Other Women,450000,973525,523525
Inherent Vice,20000000,14710975,-5289025
Brothers,26000000,43318349,17318349
Tropic Thunder,92000000,195702811,103702811
The Perfect Game,12500000,3878993,-8621007
The Sessions,1000000,9138338,8138338
The Hitchhiker's Guide to the Galaxy,50000000,104478416,54478416
The Perfect Man,0,0,0
Vantage Point,40000000,151161491,111161491
Grudge Match,40000000,44907260,4907260
Que Horas Ela Volta?,0,0,0
Homefront,22000000,43058898,21058898
And So It Goes,18000000,25312387,7312387
Madea Goes to Jail,0,90508336,90508336
Please Give,3000000,0,-3000000
Connie and Carla,20000000,11341016,-8658984
Shooter,61000000,95696996,34696996
Animals,0,0,0
非常幸运,0,0,0
Her Cry: La Llorona Investigation,5000,0,-5000
Opal Dream,5000000,140666,-4859334
Running with Scissors,12000000,6754898,-5245102
Idiocracy,30000000,495303,-29504697
फ़िज़ा,1000000,623791,-376209
Latter Days,850000,819939,-30061
Zero Dark Thirty,40000000,132820716,92820716
Housebound,0,0,0
Come Early Morning,6000000,0,-6000000
The Libertine,0,0,0
Pete's Dragon,65000000,143695338,78695338
Made,5000000,5476060,476060
Waiting...,3000000,18637690,15637690
Fun with Dick and Jane,100000000,202026112,102026112
Black or White,9000000,21571189,12571189
Red State,4000000,1104682,-2895318
Don Jon,3000000,0,-3000000
The Twilight Saga: Eclipse,68000000,698491347,630491347
American Desi,250000,0,-250000
Pitch Perfect,17000000,115400000,98400000
Northfork,0,0,0
A Lonely Place to Die,4000000,25345000,21345000
"Happy, Texas",1700000,1943649,243649
Mumford,0,0,0
Cradle Will Rock,0,0,0
The Little Vampire,35000000,27965865,-7034135
Town & Country,90000000,10372291,-79627709
8 Days,25000000,0,-25000000
Resident Evil: Extinction,45000000,148412065,103412065
The Woman in Black,17000000,127730736,110730736
Fifty Shades of Black,20000000,21164799,1164799
Halloween II,10000000,0,-10000000
The Conjuring,13000000,319494638,306494638
My Big Fat Greek Wedding 2,18000000,90632641,72632641
The Lucky Ones,0,0,0
Rejsen til Saturn,0,0,0
"Pink Ribbons, Inc.",900000,25000,-875000
Good Kill,0,316472,316472
Down in the Valley,8000000,852872,-7147128
Harsh Times,2000000,5967038,3967038
Starsuckers,0,0,0
Thomas and the Magic Railroad,19000000,19748009,748009
90 Minutes in Heaven,5000000,4842699,-157301
A Million Ways to Die in the West,40000000,86410000,46410000
Run Fatboy Run,10000000,33000000,23000000
Blue Ruin,420000,993313,573313
Shine a Light,0,0,0
The Wood,6000000,25059640,19059640
Jumping the Broom,6600000,37710610,31110610
The Best Man,9000000,34573780,25573780
سكر بنات,0,0,0
The Californians,0,0,0
The Wolfman,150000000,0,-150000000
The Kite Runner,20000000,73276047,53276047
The Lovely Bones,65000000,93621340,28621340
Da Sweet Blood of Jesus,1420000,0,-1420000
Simply Irresistible,6000000,4398989,-1601011
The Legend of Hercules,70000000,61279452,-8720548
Diary of a Mad Black Woman,0,0,0
Le Havre,3850000,0,-3850000
Mutual Appreciation,500000,0,-500000
La misma luna,0,23311391,23311391
The Maid's Room,0,0,0
Jack Brooks: Monster Slayer,0,0,0
Bad Moms,20000000,183936074,163936074
Mine vaganti,7000000,8220215,1220215
Hall Pass,36000000,86157237,50157237
The Avengers,220000000,1518815515,1298815515
The Lone Ranger,215000000,260502115,45502115
Insidious,1500000,97009150,95509150
Married Life,12000000,0,-12000000
21,35000000,69823199,34823199
The Dark Knight Rises,250000000,1081041287,831041287
Percy Jackson & the Olympians: The Lightning Thief,95000000,226497209,131497209
Fish Tank,3000000,2404300,-595700
Gravity,105000000,723192705,618192705
Untraceable,35000000,52659594,17659594
Risen,20000000,46069568,26069568
Jackass 3D,20000000,117224271,97224271
Down to Earth,0,0,0
Mr. Turner,0,5405500,5405500
Midnight Special,18000000,6740647,-11259353
You Kill Me,4000000,3748295,-251705
Crying with Laughter,0,0,0
Ararat,0,0,0
It Follows,2000000,14674076,12674076
Eulogy,6500000,89781,-6410219
The Hateful Eight,44000000,155760117,111760117
Grindhouse,67000000,25422088,-41577912
The Hobbit: An Unexpected Journey,250000000,1021103568,771103568
The Hobbit: The Desolation of Smaug,250000000,958400000,708400000
Gods and Generals,56000000,12923936,-43076064
Troy,175000000,497409852,322409852
Traffic,48000000,207515725,159515725
Alexander,155000000,167298192,12298192
Ray,40000000,124731534,84731534
Restless,8000000,163265,-7836735
The Da Vinci Code,125000000,767820459,642820459
The Wolf of Wall Street,100000000,392000000,292000000
Kingdom of Heaven,130000000,211643158,81643158
Der Baader Meinhof Komplex,27000000,0,-27000000
The Lord of the Rings: The Two Towers,79000000,926287400,847287400
Gangs of New York,100000000,193772504,93772504
जब तक है जान,0,0,0
赤壁,80341000,250100000,169759000
Jack Reacher,60000000,218340595,158340595
Open Range,22000000,68296293,46296293
The Maze Runner,34000000,348319861,314319861
Original Sin,42000000,35402320,-6597680
The Secret Life of Walter Mitty,90000000,188133322,98133322
National Treasure,100000000,347512318,247512318
Scott Pilgrim vs. the World,85000000,48000000,-37000000
Bloody Sunday,0,773228,773228
Miracles from Heaven,16000000,73983359,57983359
Repo! The Genetic Opera,8500000,188126,-8311874
Mission to Mars,90000000,60874615,-29125385
My Life Without Me,0,9726954,9726954
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,515011224
Kill Bill: Vol. 1,30000000,180899265,150899265
About Time,12000000,87100449,75100449
Dreamcatcher,68000000,75700000,7700000
Deliver Us from Evil,30000000,87937815,57937815
X-Men Origins: Wolverine,150000000,373062864,223062864
Predators,40000000,127233108,87233108
The Hobbit: The Battle of the Five Armies,250000000,956019788,706019788
Eternal Sunshine of the Spotless Mind,20000000,72258126,52258126
Warrior,25000000,23057115,-1942885
Captain America: The Winter Soldier,170000000,714766572,544766572
三城记,0,0,0
The Last Castle,72000000,27642707,-44357293
Road to Perdition,80000000,181001478,101001478
Broken City,56000000,34737199,-21262801
Get Him to the Greek,40000000,90029656,50029656
The Taking of Pelham 1 2 3,100000000,150166126,50166126
Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,865659812
8 Mile,41000000,242875078,201875078
Out of Time,50000000,55495563,5495563
Walk the Line,28000000,186797986,158797986
Million Dollar Baby,30000000,216763646,186763646
Jerusalema,0,0,0
Bienvenue chez les ch'tis,11000000,245144417,234144417
War of the Worlds,132000000,603873119,471873119
"Me, Myself & Irene",51000000,149270999,98270999
Think Like a Man,12000000,96070507,84070507
Our Brand Is Crisis,28000000,7002261,-20997739
Disturbia,20000000,117760134,97760134
The Savages,0,10653221,10653221
Adam Resurrected,10000000,0,-10000000
The Perfect Storm,120000000,325756637,205756637
Joyful Noise,0,0,0
Strangerland,10000000,111107,-9888893
Bamboozled,0,0,0
Sisters in Law,0,0,0
Zulu,3500000,8000000,4500000
Four Brothers,45000000,92374674,47374674
Fireproof,500000,33456317,32956317
Magic Mike,7000000,167221571,160221571
Snatch,10000000,83557872,73557872
Chill Factor,70000000,11263966,-58736034
A Perfect Getaway,14000000,22852638,8852638
The To Do List,1500000,3566225,2066225
Slumdog Millionaire,15000000,378410542,363410542
The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,778368364
The Awakening,4798235,209696,-4588539
The Manchurian Candidate,80000000,96105964,16105964
Tea with Mussolini,12000000,21001563,9001563
In Bruges,15000000,34533783,19533783
Closer to the Moon,9000000,0,-9000000
"O Brother, Where Art Thou?",26000000,71868327,45868327
Brokeback Mountain,14000000,178043761,164043761
Faith Connections,550000,0,-550000
Albert Nobbs,8000000,5634828,-2365172
Blindness,25000000,19844979,-5155021
The Kid,65000000,69700000,4700000
For Love of the Game,50000000,46112640,-3887360
Bless the Child,40000000,0,-40000000
Wish I Was Here,5500000,5483299,-16701
The Replacements,50000000,50054511,54511
"I Love You, Man",41000000,91980359,50980359
The Dark Knight,185000000,1004558444,819558444
The Gunman,40000000,13644292,-26355708
The Infiltrator,28000000,21011110,-6988890
Steve Jobs,30000000,34441873,4441873
K-PAX,48000000,50315140,2315140
Bobby Jones: Stroke of Genius,0,0,0
Grace of Monaco,30000000,26576000,-3424000
San Andreas,110000000,473990832,363990832
Saw,1200000,103911669,102711669
We Need to Talk About Kevin,7000000,10765283,3765283
Oorlogswinter,4000000,530048,-3469952
Transformers: Revenge of the Fallen,200000000,836303693,636303693
Fur: An Imaginary Portrait of Diane Arbus,16800000,2281089,-14518911
To Save a Life,500000,3824868,3324868
The Odd Life of Timothy Green,25000000,56012642,31012642
Lucky Number Slevin,27000000,56308881,29308881
Breakfast of Champions,12000000,0,-12000000
"Definitely, Maybe",0,55447968,55447968
Star Trek: Nemesis,60000000,67312826,7312826
三国之见龙卸甲,0,0,0
Valkyrie,75000000,200276000,125276000
Roll Bounce,0,0,0
Elle s'appelait Sarah,10000000,17511906,7511906
The King's Speech,15000000,414211549,399211549
One Man's Hero,0,0,0
Mother and Child,7000000,0,-7000000
Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,601636033
