color,director_name,duration,actor_2_name,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,language,country,content_rating,budget,title_year,gross,aspect_ratio,Horror,Romance,Family,Animation,Reality-TV,Comedy,Thriller,Game-Show,Western,Film-Noir,Short,Drama,Crime,Musical,Biography,Mystery,Action,Sci-Fi,Sport,Music,History,Adventure,News,Documentary,Fantasy,War,rate,budget_infl,gross_infl,format,profit
Color,Sergio Leone,251,Burt Young,Robert De Niro,Once Upon a Time in America ,Treat Williams,8,English,Italy,R,30000000,1984,5300000,1.85,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,884239271.9,156215604.7,Movie,-728023667.2
 Black and White,Richard Attenborough,240,Amrish Puri,Candice Bergen,Gandhi ,John Gielgud,0,English,UK,PG,22000000,1982,25040293,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.392746845,648442132.7,738053681.7,Movie,22156530.81
Color,Martin Scorsese,240,Matthew McConaughey,Leonardo DiCaprio,The Wolf of Wall Street ,Jon Favreau,3,English,USA,R,100000000,2013,116866727,2.35,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.392746845,2947464240,3444604986,Movie,497140746.7
Color,Missing,240,Blake Ritson,Romola Garai,Emma             ,Rupert Evans,1,English,UK,Missing,19950000,2005,25040293,1.78,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,588019115.8,738053681.7,Movie,22156530.81
Color,Kevin Costner,236,Michael Spears,Mary McDonnell,Dances with Wolves ,Maury Chaykin,1,English,USA,PG-13,22000000,1990,184208848,2.35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.392746845,648442132.7,5429489921,Movie,4781047788
Color,David Lean,227,JosA� Ferrer,Claude Rains,Lawrence of Arabia ,Jack Hawkins,8,English,UK,PG,15000000,1962,6000000,2.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,3.392746845,442119636,176847854.4,Movie,-265271781.6
Color,Victor Fleming,226,George Reeves,Hattie McDaniel,Gone with the Wind ,Thomas Mitchell,1,English,USA,G,3977000,1939,198655278,1.37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.392746845,117220652.8,5855293279,Movie,5738072627
Color,George Stevens,225,Carroll Baker,Martin Landau,The Greatest Story Ever Told ,JosA� Ferrer,6,English,USA,G,20000000,1965,8000000,2.76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.392746845,589492847.9,235797139.2,Movie,-353695708.8
Color,Francis Ford Coppola,220,Al Pacino,Robert De Niro,The Godfather: Part II ,Robert Duvall,1,English,USA,R,13000000,1974,57300000,1.85,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,383170351.2,1688897009,Movie,1305726658
Color,Billy Bob Thornton,220,Henry Thomas,Matt Damon,All the Pretty Horses ,Sam Shepard,2,English,USA,PG-13,57000000,2000,15527125,2.35,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,1680054617,457656456.8,Movie,-1222398160
Color,Bernardo Bertolucci,219,Joan Chen,Cary-Hiroyuki Tagawa,The Last Emperor ,Victor Wong,0,English,China,PG-13,23000000,1987,43984230,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.392746845,677916775.1,1296419450,Movie,618502675.2
Color,Martin Scorsese,216,Liam Neeson,Leonardo DiCaprio,Gangs of New York ,Jim Broadbent,3,English,USA,R,100000000,2002,77679638,2.35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,2947464240,2289579552,Movie,-657884688.1
Color,Michael Wadleigh,215,Jimi Hendrix,Joe Cocker,Woodstock ,Joan Baez,0,English,USA,R,600000,1970,13300000,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.392746845,17684785.44,392012743.9,Movie,374327958.4
Color,Terrence Malick,215,Miranda Otto,Nick Stahl,The Thin Red Line ,Dash Mihok,0,English,USA,R,52000000,1998,36385763,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.392746845,1532681405,1072457353,Movie,-460224051.9
Color,Zack Snyder,215,Billy Crudup,Matt Frewer,Watchmen ,Stephen McHattie,1,English,USA,R,130000000,2009,107503316,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3.392746845,3831703512,3168621796,Movie,-663081716
Color,Lawrence Kasdan,212,Catherine O Hara,Dennis Quaid,Wyatt Earp ,Isabella Rossellini,0,English,USA,PG-13,63000000,1994,25052000,2.35,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3.392746845,1856902471,738398741.3,Movie,-1118503730
 Black and White,Oliver Stone,212,Bob Hoskins,Anthony Hopkins,Nixon ,Joan Allen,0,English,USA,R,50000000,1995,13560960,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.392746845,1473732120,399704446.6,Movie,-1074027673
 Black and White,Oliver Stone,206,Jay O. Sanders,Sally Kirkland,JFK ,Cheryl Penland,1,English,France,R,40000000,1991,70405498,2.35,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.392746845,1178985696,2075176876,Movie,896191180.5
Color,Oliver Stone,206,Angelina Jolie Pitt,Anthony Hopkins,Alexander ,Brian Blessed,3,English,Germany,R,155000000,2004,34293771,2.35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,3.392746845,4568569572,1010796637,Movie,-3557772935
 Black and White,Akira Kurosawa,202,Minoru Chiaki,Takashi Shimura,Seven Samurai ,Kamatari Fujiwara,6,Japanese,Japan,Unrated,2000000,1954,269061,1.37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.392746845,58949284.79,7930476.758,Movie,-51018808.04
Color,Spike Lee,202,Delroy Lindo,Denzel Washington,Malcolm X ,Al Freeman Jr.,0,English,USA,PG-13,33000000,1992,48169908,1.85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.392746845,972663199.1,1419790813,Movie,447127613.5
Color,Peter Jackson,201,Thomas Kretschmann,Naomi Watts,King Kong ,Evan Parke,0,English,New Zealand,PG-13,207000000,2005,218051260,2.35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.392746845,6101250976,6426982913,Movie,325731936.5
Color,David Lean,200,Klaus Kinski,Julie Christie,Doctor Zhivago ,Geraldine Chaplin,2,English,USA,PG-13,11000000,1965,111722000,2.35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.392746845,324221066.4,3292965998,Movie,2968744932
Color,Missing,199,Jonathan Crombie,Zack Ward,Anne of Green Gables             ,Megan Follows,0,English,Canada,G,19950000,2005,25040293,1.33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,588019115.8,738053681.7,TV,22156530.81
Color,Stanley Kramer,197,Sid Caesar,Jonathan Winters,"It s a Mad, Mad, Mad, Mad World ",Spencer Tracy,0,English,USA,Unrated,9400000,1963,46300000,2.76,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3.392746845,277061638.5,1364675943,Movie,1087614304
Color,Missing,197,Jessica De Gouw,Rachel Griffiths,Deadline Gallipoli             ,Luke Ford,0,English,Australia,Missing,15000000,2005,25040293,Missing,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.392746845,442119636,738053681.7,Movie,22156530.81
Color,Wolfgang Petersen,196,Orlando Bloom,Brad Pitt,Troy ,Julian Glover,2,English,USA,R,175000000,2004,133228348,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.392746845,5158062419,3926857914,Movie,-1231204505
Color,Warren Beatty,195,Warren Beatty,Paul Sorvino,Reds ,M. Emmet Walsh,0,English,USA,PG,35000000,1981,25040293,1.85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.392746845,1031612484,738053681.7,Movie,22156530.81
Color,Shane Black,195,Jon Favreau,Robert Downey Jr.,Iron Man 3 ,Don Cheadle,3,English,USA,PG-13,200000000,2013,408992272,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3.392746845,5894928479,12054900960,Movie,6159972481
Color,James Cameron,194,Kate Winslet,Leonardo DiCaprio,Titanic ,Gloria Stuart,0,English,USA,PG-13,200000000,1997,658672302,2.35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,5894928479,19414130558,Movie,13519202079
Color,Ridley Scott,194,Orlando Bloom,Liam Neeson,Kingdom of Heaven ,Philip Glenister,1,English,USA,R,130000000,2005,47396698,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,3.392746845,3831703512,1397000724,Movie,-2434702787
Color,Philip Kaufman,193,Scott Glenn,Dennis Quaid,The Right Stuff ,Sam Shepard,0,English,USA,PG,27000000,1983,21500000,1.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.392746845,795815344.7,633704811.5,Movie,-162110533.2
Color,Karan Johar,193,John Abraham,Shah Rukh Khan,Kabhi Alvida Naa Kehna ,Preity Zinta,2,Hindi,India,R,700000000,2006,3275443,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,20632249678,96542511.12,Movie,-20535707167
Color,Peter Jackson,192,Billy Boyd,Orlando Bloom,The Lord of the Rings: The Return of the King ,Bernard Hill,2,English,USA,PG-13,94000000,2003,377019252,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3.392746845,2770616385,11112507629,Movie,8341891244
Color,Yash Chopra,192,Preity Zinta,Shah Rukh Khan,Veer-Zaara ,Anupam Kher,0,Hindi,India,Missing,7000000,2004,2921738,2.35,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,206322496.8,86117182.73,Movie,-120205314.1
Color,Steven Soderbergh,190,Jacob Vargas,Michael O Neill,Traffic ,James Lew,0,English,USA,R,48000000,2000,124107476,1.85,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,1414782835,3658023474,Movie,2243240639
Color,Frank Darabont,189,Jeffrey DeMunn,Tom Hanks,The Green Mile ,Michael Jeter,0,English,USA,R,60000000,1999,136801374,1.85,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3.392746845,1768478544,4032171578,Movie,2263693034
Color,Robert Rodriguez,189,Rosario Dawson,Quentin Tarantino,Grindhouse ,ZoA� Bell,0,English,USA,R,53000000,2007,25031037,2.35,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.392746845,1562156047,737780864.4,Movie,-824375182.6
Color,Richard Donner,188,Margot Kidder,Marlon Brando,Superman ,Ned Beatty,0,English,USA,PG,55000000,1978,134218018,2.35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3.392746845,1621105332,3956028084,Movie,2334922752
Color,Paul Thomas Anderson,188,Neil Flynn,Patton Oswalt,Magnolia ,Jim Meskimen,1,English,USA,R,37000000,1999,22450975,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,1090561769,661734459.6,Movie,-428827309.1
Color,Quentin Tarantino,187,Jennifer Jason Leigh,Craig Stark,The Hateful Eight ,ZoA� Bell,1,English,USA,R,44000000,2015,54116191,2.76,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.392746845,1296884265,1595055378,Movie,298171112.1
 Black and White,Stanley Kramer,186,Montgomery Clift,Maximilian Schell,Judgment at Nuremberg ,Spencer Tracy,0,English,USA,Unrated,3000000,1961,25040293,1.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.392746845,88423927.19,738053681.7,Movie,22156530.81
Color,Kenneth Lonergan,186,Kieran Culkin,Matt Damon,Margaret ,John Gallagher Jr.,1,English,USA,R,14000000,2011,46495,1.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,412644993.6,1370423.498,Movie,-411274570.1
Color,Peter Jackson,186,Adam Brown,Aidan Turner,The Hobbit: The Desolation of Smaug ,James Nesbitt,6,English,USA,PG-13,225000000,2013,258355354,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.392746845,6631794539,7614931671,Movie,983137131.2
 Black and White,Steven Spielberg,185,Embeth Davidtz,Liam Neeson,Schindler s List ,Caroline Goodall,0,English,USA,R,22000000,1993,96067179,1.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.392746845,648442132.7,2831545747,Movie,2183103614
Color,Stanley Kubrick,184,Steven Berkoff,Ryan O Neal,Barry Lyndon ,Hardy KrA�ger,0,English,UK,PG,11000000,1975,25040293,1.66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3.392746845,324221066.4,738053681.7,Movie,22156530.81
 Black and White,Michael Bay,184,Jaime King,Jennifer Garner,Pearl Harbor ,Mako,0,English,USA,PG-13,140000000,2001,198539855,2.35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3.392746845,4126449936,5851891228,Movie,1725441292
Color,Uli Edel,184,Alexandra Maria Lara,Moritz Bleibtreu,The Baader Meinhof Complex ,Martina Gedeck,2,German,Germany,R,20000000,2008,476270,1.85,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3.392746845,589492847.9,14037887.93,Movie,-575454960
Color,Michael Cimino,183,Meryl Streep,Robert De Niro,The Deer Hunter ,John Savage,2,English,UK,R,15000000,1978,25040293,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.392746845,442119636,738053681.7,Movie,22156530.81
Color,Zack Snyder,183,Lauren Cohan,Henry Cavill,Batman v Superman: Dawn of Justice ,Alan D. Purwin,0,English,USA,PG-13,250000000,2016,330249062,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3.392746845,7368660599,9733973004,Movie,2365312405
Color,Peter Jackson,182,Adam Brown,Aidan Turner,The Hobbit: An Unexpected Journey ,James Nesbitt,1,English,USA,PG-13,180000000,2012,303001229,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.392746845,5305435631,8930852871,Movie,3625417239
Color,Norman Jewison,181,Paul Michael Glaser,Topol,Fiddler on the Roof ,Rosalind Harris,0,English,USA,G,9000000,1971,50000000,2.35,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,265271781.6,1473732120,Movie,1208460338
Color,Milos Forman,180,F. Murray Abraham,Jeffrey Jones,Amadeus ,Tom Hulce,0,English,USA,R,18000000,1984,51600000,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3.392746845,530543563.1,1520891548,Movie,990347984.5
Color,Edward Hall,180,Hayley Atwell,Rufus Sewell,Restless ,Charlotte Rampling,2,English,UK,Missing,19950000,2012,25040293,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,588019115.8,738053681.7,Movie,22156530.81
 Black and White,Ken Annakin,178,Richard Beymer,Richard Burton,The Longest Day ,Eddie Albert,3,English,USA,G,10000000,1962,25040293,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3.392746845,294746424,738053681.7,Movie,22156530.81
Color,Quentin Tarantino,178,Eric Stoltz,Bruce Willis,Pulp Fiction ,Phil LaMarr,1,English,USA,R,8000000,1994,107930000,2.35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,235797139.2,3181198154,Movie,2945401015
Color,Mel Gibson,178,Patrick McGoohan,Mhairi Calvey,Braveheart ,James Robinson,1,English,USA,R,72000000,1995,75600000,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3.392746845,2122174253,2228282965,Movie,106108712.6
Color,Martin Scorsese,178,Don Rickles,Robert De Niro,Casino ,Kevin Pollak,2,English,USA,R,52000000,1995,42438300,2.35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.392746845,1532681405,1250853716,Movie,-281827688.2
Color,Martin Brest,178,Brad Pitt,Anthony Hopkins,Meet Joe Black ,Jake Weber,0,English,USA,PG-13,90000000,1998,44606335,1.85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.392746845,2652717816,1314755773,Movie,-1337962043
Color,Oliver Hirschbiegel,178,Bruno Ganz,Thomas Kretschmann,Downfall ,Alexandra Maria Lara,0,German,Germany,R,13500000,2004,5501940,1.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3.392746845,397907672.4,162167714,Movie,-235739958.4
Color,Taylor Hackford,178,Curtis Armstrong,Bokeem Woodbine,Ray ,Harry Lennix,0,English,USA,PG-13,40000000,2004,75305995,1.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.392746845,1178985696,2219617273,Movie,1040631577
Color,James Cameron,178,Joel David Moore,CCH Pounder,Avatar ,Wes Studi,0,English,USA,PG-13,237000000,2009,760505847,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,3.392746845,6985490248,22415637881,Movie,15430147633
Color,David Lynch,177,JA�rgen Prochnow,Virginia Madsen,Dune ,JosA� Ferrer,3,English,USA,PG-13,40000000,1984,27400000,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3.392746845,1178985696,807605201.7,Movie,-371380494.2
Color,Kevin Costner,177,Brian Anthony Wilson,Olivia Williams,The Postman ,Larenz Tate,1,English,USA,R,80000000,1997,17593391,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3.392746845,2357971392,518558908.3,Movie,-1839412483
 Black and White,Aleksey German,177,Yuriy Tsurilo,Leonid Yarmolnik,Hard to Be a God ,Valentin Golubenko,0,Russian,Russia,Unrated,7000000,2013,25040293,1.66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.392746845,206322496.8,738053681.7,Movie,22156530.81
Color,Kevin Reynolds,176,Rick Aviles,Jeanne Tripplehorn,Waterworld ,Zakes Mokae,0,English,USA,PG-13,175000000,1995,88246220,1.85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3.392746845,5158062419,2601025777,Movie,-2557036642
Color,Ridley Scott,176,Ruby Dee,Denzel Washington,American Gangster ,RZA,0,English,USA,R,100000000,2007,130127620,1.85,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.392746845,2947464240,3835465065,Movie,888000825.8
Color,Yash Chopra,176,Katrina Kaif,Shah Rukh Khan,Jab Tak Hai Jaan ,Vic Waghorn,4,Hindi,India,Unrated,7217600,2012,3047539,2.35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,212736179,89825122.22,Movie,-122911056.7
Color,Francis Ford Coppola,175,Marlon Brando,Al Pacino,The Godfather ,Robert Duvall,1,English,USA,R,6000000,1972,134821952,1.85,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,176847854.4,3973828822,Movie,3796980968
 Black and White,Richard Attenborough,175,Dirk Bogarde,Ryan O Neal,A Bridge Too Far ,Wolfgang Preiss,14,English,USA,PG,26000000,1977,50800000,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.392746845,766340702.3,1497311834,Movie,730971131.4
Color,Robert Wise,174,Angela Cartwright,Eleanor Parker,The Sound of Music ,Nicholas Hammond,3,English,USA,G,8200000,1965,163214286,2.35,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.392746845,241692067.7,4810682714,Movie,4568990646
Color,Chris Columbus,174,Rupert Grint,Daniel Radcliffe,Harry Potter and the Chamber of Secrets ,Emma Watson,1,English,UK,PG,100000000,2002,261970615,2.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3.392746845,2947464240,7721490196,Movie,4774025956
Color,Ron Howard,174,Seth Gabel,Tom Hanks,The Da Vinci Code ,JA�rgen Prochnow,2,English,USA,PG-13,125000000,2006,217536138,2.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.392746845,3684330300,6411799876,Movie,2727469576
Color,Joss Whedon,173,Robert Downey Jr.,Chris Hemsworth,The Avengers ,Scarlett Johansson,3,English,USA,PG-13,220000000,2012,623279547,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3.392746845,6484421327,18370941761,Movie,11886520434
Color,Missing,173,Colm Feore,Craig T. Nelson,Creature             ,Megalyn Echikunwoke,3,English,USA,Missing,19950000,2005,25040293,1.78,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.392746845,588019115.8,738053681.7,Movie,22156530.81
